pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL	Number_of_nodes_update
HIV Infection	R-HSA-162906	 Reactome	 hsapiens	257	8464	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162906	223.0
Chromatin modifying enzymes	R-HSA-3247509	 Reactome	 hsapiens	256	4024	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3247509	273.0
Metabolism of water-soluble vitamins and cofactors	R-HSA-196849	 Reactome	 hsapiens	252	1620	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-196849	118.0
Cell surface interactions at the vascular wall	R-HSA-202733	 Reactome	 hsapiens	251	2293	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-202733	127.0
Nucleotide metabolism	R-HSA-15869	 Reactome	 hsapiens	250	3421	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-15869	89.0
Mitotic Metaphase and Anaphase	R-HSA-2555396	 Reactome	 hsapiens	248	8742	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2555396	235.0
Mitotic Anaphase	R-HSA-68882	 Reactome	 hsapiens	247	8736	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68882	234.0
HCMV Infection	R-HSA-9609646	 Reactome	 hsapiens	244	13713	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9609646	141.0
Processing of Capped Intron-Containing Pre-mRNA	R-HSA-72203	 Reactome	 hsapiens	244	22021	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72203	244.0
Neddylation	R-HSA-8951664	 Reactome	 hsapiens	239	6955	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8951664	234.0
The citric acid (TCA) cycle and respiratory electron transport	R-HSA-1428517	 Reactome	 hsapiens	234	5479	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1428517	175.0
Fc epsilon receptor (FCERI) signaling	R-HSA-2454202	 Reactome	 hsapiens	234	6511	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2454202	131.0
Programmed Cell Death	R-HSA-5357801	 Reactome	 hsapiens	230	1919	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5357801	210.0
Signaling by ROBO receptors	R-HSA-376176	 Reactome	 hsapiens	226	7527	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-376176	218.0
ESR-mediated signaling	R-HSA-8939211	 Reactome	 hsapiens	223	2868	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8939211	221.0
Glycerophospholipid biosynthesis	R-HSA-1483206	 Reactome	 hsapiens	222	2200	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483206	107.0
Signaling by NOTCH	R-HSA-157118	 Reactome	 hsapiens	218	3074	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-157118	236.0
Transcriptional regulation by RUNX1	R-HSA-8878171	 Reactome	 hsapiens	214	3973	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8878171	239.0
TCF dependent signaling in response to WNT	R-HSA-201681	 Reactome	 hsapiens	213	4126	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-201681	233.0
rRNA processing	R-HSA-72312	 Reactome	 hsapiens	211	8276	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72312	196.0
Neurotransmitter receptors and postsynaptic signal transmission	R-HSA-112314	 Reactome	 hsapiens	209	3432	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112314	183.0
Muscle contraction	R-HSA-397014	 Reactome	 hsapiens	208	5282	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-397014	193.0
Ub-specific processing proteases	R-HSA-5689880	 Reactome	 hsapiens	206	2367	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5689880	218.0
Diseases of glycosylation	R-HSA-3781865	 Reactome	 hsapiens	202	393	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3781865	113.0
Ion channel transport	R-HSA-983712	 Reactome	 hsapiens	201	3049	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983712	179.0
rRNA processing in the nucleus and cytosol	R-HSA-8868773	 Reactome	 hsapiens	201	8255	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8868773	191.0
Transport to the Golgi and subsequent modification	R-HSA-948021	 Reactome	 hsapiens	200	5302	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-948021	147.0
Cellular response to chemical stress	R-HSA-9711123	 Reactome	 hsapiens	199	2519	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9711123	157.0
Intra-Golgi and retrograde Golgi-to-ER traffic	R-HSA-6811442	 Reactome	 hsapiens	199	3901	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811442	185.0
C-type lectin receptors (CLRs)	R-HSA-5621481	 Reactome	 hsapiens	196	2202	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5621481	141.0
Antigen processing-Cross presentation	R-HSA-1236975	 Reactome	 hsapiens	195	2335	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1236975	98.0
Mitotic Prometaphase	R-HSA-68877	 Reactome	 hsapiens	194	9672	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68877	191.0
Mitotic G2-G2/M phases	R-HSA-453274	 Reactome	 hsapiens	193	6055	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-453274	185.0
Cilium Assembly	R-HSA-5617833	 Reactome	 hsapiens	193	6352	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5617833	188.0
Fcgamma receptor (FCGR) dependent phagocytosis	R-HSA-2029480	 Reactome	 hsapiens	193	6934	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2029480	85.0
G2/M Transition	R-HSA-69275	 Reactome	 hsapiens	191	6039	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69275	183.0
RAC1 GTPase cycle	R-HSA-9013149	 Reactome	 hsapiens	190	784	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013149	185.0
HCMV Early Events	R-HSA-9609690	 Reactome	 hsapiens	189	6682	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9609690	116.0
B Cell Activation	R-HSA-983705	 Reactome	 hsapiens	188	5387	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983705	112.0
mRNA Splicing	R-HSA-72172	 Reactome	 hsapiens	188	16984	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72172	191.0
Apoptosis	R-HSA-109581	 Reactome	 hsapiens	187	1669	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-109581	180.0
SUMOylation	R-HSA-2990846	 Reactome	 hsapiens	187	1954	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2990846	188.0
Toll-like Receptor Cascades	R-HSA-168898	 Reactome	 hsapiens	185	2065	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168898	154.0
Cytochrome P450 - arranged by substrate type	R-HSA-211897	 Reactome	 hsapiens	184	2429	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211897	45.0
Major pathway of rRNA processing in the nucleolus and cytosol	R-HSA-6791226	 Reactome	 hsapiens	183	7797	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6791226	183.0
pre-mRNA splicing	R-HSA-72163	 Reactome	 hsapiens	180	16604	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72163	183.0
Glycosaminoglycan metabolism	R-HSA-1630316	 Reactome	 hsapiens	179	1415	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1630316	115.0
SUMO E3 ligases SUMOylate target proteins	R-HSA-3108232	 Reactome	 hsapiens	178	1903	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3108232	182.0
S Phase	R-HSA-69242	 Reactome	 hsapiens	178	3270	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69242	161.0
Influenza Infection	R-HSA-168255	 Reactome	 hsapiens	177	10337	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168255	144.0
Interferon gamma signaling	R-HSA-877300	 Reactome	 hsapiens	176	410	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-877300	91.0
SARS-CoV Infections	R-HSA-9679506	 Reactome	 hsapiens	176	981	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9679506	88.0
Cellular Senescence	R-HSA-2559583	 Reactome	 hsapiens	176	3482	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559583	197.0
Selenoamino acid metabolism	R-HSA-2408522	 Reactome	 hsapiens	176	5596	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2408522	115.0
SLC transporter disorders	R-HSA-5619102	 Reactome	 hsapiens	175	698	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5619102	40.0
Regulation of expression of SLITs and ROBOs	R-HSA-9010553	 Reactome	 hsapiens	174	7238	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9010553	171.0
Separation of Sister Chromatids	R-HSA-2467813	 Reactome	 hsapiens	174	7824	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2467813	174.0
Regulation of TP53 Activity	R-HSA-5633007	 Reactome	 hsapiens	173	1657	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5633007	160.0
ER-Phagosome pathway	R-HSA-1236974	 Reactome	 hsapiens	173	1762	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1236974	90.0
HIV Life Cycle	R-HSA-162587	 Reactome	 hsapiens	173	6044	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162587	147.0
FCERI mediated NF-kB activation	R-HSA-2871837	 Reactome	 hsapiens	172	3428	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2871837	76.0
G alpha (s) signalling events	R-HSA-418555	 Reactome	 hsapiens	172	3431	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-418555	145.0
HCMV Late Events	R-HSA-9610379	 Reactome	 hsapiens	170	8152	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9610379	116.0
Visual phototransduction	R-HSA-2187338	 Reactome	 hsapiens	169	1740	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2187338	96.0
Protein localization	R-HSA-9609507	 Reactome	 hsapiens	168	1621	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9609507	164.0
Platelet activation, signaling and aggregation	R-HSA-76002	 Reactome	 hsapiens	168	1732	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-76002	129.0
Arachidonic acid metabolism	R-HSA-2142753	 Reactome	 hsapiens	165	1148	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2142753	54.0
Cellular response to starvation	R-HSA-9711097	 Reactome	 hsapiens	165	6951	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9711097	156.0
CDC42 GTPase cycle	R-HSA-9013148	 Reactome	 hsapiens	163	624	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013148	159.0
Transport of inorganic cations/anions and amino acids/oligopeptides	R-HSA-425393	 Reactome	 hsapiens	163	2579	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-425393	104.0
DNA Double-Strand Break Repair	R-HSA-5693532	 Reactome	 hsapiens	163	4712	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693532	167.0
Transport of bile salts and organic acids, metal ions and amine compounds	R-HSA-425366	 Reactome	 hsapiens	162	1020	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-425366	53.0
Beta-catenin independent WNT signaling	R-HSA-3858494	 Reactome	 hsapiens	160	2113	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3858494	141.0
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	R-HSA-446193	 Reactome	 hsapiens	159	746	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-446193	78.0
Biosynthesis of specialized proresolving mediators (SPMs)	R-HSA-9018678	 Reactome	 hsapiens	159	1255	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9018678	19.0
Clathrin-mediated endocytosis	R-HSA-8856828	 Reactome	 hsapiens	159	10458	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8856828	143.0
Sphingolipid metabolism	R-HSA-428157	 Reactome	 hsapiens	158	845	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-428157	83.0
ADORA2B mediated anti-inflammatory cytokines production	R-HSA-9660821	 Reactome	 hsapiens	158	5364	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9660821	134.0
Regulation of actin dynamics for phagocytic cup formation	R-HSA-2029482	 Reactome	 hsapiens	158	5451	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2029482	61.0
Late Phase of HIV Life Cycle	R-HSA-162599	 Reactome	 hsapiens	158	5756	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162599	134.0
FCGR3A-mediated phagocytosis	R-HSA-9664422	 Reactome	 hsapiens	157	5999	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664422	59.0
Complement cascade	R-HSA-166658	 Reactome	 hsapiens	155	3541	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166658	57.0
Factors involved in megakaryocyte development and platelet production	R-HSA-983231	 Reactome	 hsapiens	154	303	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983231	116.0
Death Receptor Signalling	R-HSA-73887	 Reactome	 hsapiens	154	1146	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73887	140.0
G2/M Checkpoints	R-HSA-69481	 Reactome	 hsapiens	154	3062	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69481	168.0
RHOA GTPase cycle	R-HSA-8980692	 Reactome	 hsapiens	153	581	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8980692	147.0
Mitotic G1 phase and G1/S transition	R-HSA-453279	 Reactome	 hsapiens	153	2916	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-453279	149.0
Influenza Viral RNA Transcription and Replication	R-HSA-168273	 Reactome	 hsapiens	153	8900	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168273	132.0
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	R-HSA-163200	 Reactome	 hsapiens	152	3573	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163200	125.0
Interleukin-1 family signaling	R-HSA-446652	 Reactome	 hsapiens	150	2074	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-446652	141.0
Cytoprotection by HMOX1	R-HSA-9707564	 Reactome	 hsapiens	150	2094	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9707564	122.0
PTEN Regulation	R-HSA-6807070	 Reactome	 hsapiens	150	2271	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6807070	140.0
Toll Like Receptor 4 (TLR4) Cascade	R-HSA-166016	 Reactome	 hsapiens	148	1742	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166016	132.0
Signaling by Hedgehog	R-HSA-5358351	 Reactome	 hsapiens	148	3052	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5358351	125.0
TCR signaling	R-HSA-202403	 Reactome	 hsapiens	147	2764	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-202403	120.0
Signaling by NTRKs	R-HSA-166520	 Reactome	 hsapiens	146	1093	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166520	133.0
Autophagy	R-HSA-9612973	 Reactome	 hsapiens	146	2364	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9612973	130.0
ER to Golgi Anterograde Transport	R-HSA-199977	 Reactome	 hsapiens	145	5147	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-199977	137.0
Integration of energy metabolism	R-HSA-163685	 Reactome	 hsapiens	144	1286	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163685	108.0
Host Interactions of HIV factors	R-HSA-162909	 Reactome	 hsapiens	144	3078	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162909	124.0
Interferon alpha/beta signaling	R-HSA-909733	 Reactome	 hsapiens	143	1028	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-909733	72.0
DNA Replication	R-HSA-69306	 Reactome	 hsapiens	141	2591	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69306	127.0
FCGR3A-mediated IL10 synthesis	R-HSA-9664323	 Reactome	 hsapiens	140	4228	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664323	28.0
Keratinization	R-HSA-6805567	 Reactome	 hsapiens	138	1528	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6805567	124.0
Regulation of Complement cascade	R-HSA-977606	 Reactome	 hsapiens	138	2506	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-977606	46.0
Chromosome Maintenance	R-HSA-73886	 Reactome	 hsapiens	137	3018	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73886	141.0
Regulation of lipid metabolism by PPARalpha	R-HSA-400206	 Reactome	 hsapiens	135	2252	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-400206	119.0
G1/S Transition	R-HSA-69206	 Reactome	 hsapiens	135	2493	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69206	131.0
Cardiac conduction	R-HSA-5576891	 Reactome	 hsapiens	135	3276	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5576891	127.0
tRNA processing	R-HSA-72306	 Reactome	 hsapiens	134	949	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72306	80.0
Glucose metabolism	R-HSA-70326	 Reactome	 hsapiens	134	1475	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70326	91.0
Epigenetic regulation of gene expression	R-HSA-212165	 Reactome	 hsapiens	134	4483	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-212165	144.0
Nucleobase catabolism	R-HSA-8956319	 Reactome	 hsapiens	133	1048	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8956319	25.0
Transcriptional regulation by RUNX2	R-HSA-8878166	 Reactome	 hsapiens	133	2115	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8878166	121.0
PPARA activates gene expression	R-HSA-1989781	 Reactome	 hsapiens	133	2236	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1989781	117.0
Signaling by VEGF	R-HSA-194138	 Reactome	 hsapiens	132	1245	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-194138	106.0
O-linked glycosylation	R-HSA-5173105	 Reactome	 hsapiens	132	1306	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5173105	110.0
Synthesis of DNA	R-HSA-69239	 Reactome	 hsapiens	132	2165	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69239	119.0
Synthesis of substrates in N-glycan biosythesis	R-HSA-446219	 Reactome	 hsapiens	131	578	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-446219	63.0
Macroautophagy	R-HSA-1632852	 Reactome	 hsapiens	130	1658	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1632852	115.0
Homology Directed Repair	R-HSA-5693538	 Reactome	 hsapiens	130	3509	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693538	138.0
Rab regulation of trafficking	R-HSA-9007101	 Reactome	 hsapiens	129	1089	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9007101	123.0
Golgi-to-ER retrograde transport	R-HSA-8856688	 Reactome	 hsapiens	129	2691	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8856688	116.0
Estrogen-dependent gene expression	R-HSA-9018519	 Reactome	 hsapiens	128	1929	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9018519	150.0
Mitotic Prophase	R-HSA-68875	 Reactome	 hsapiens	128	2367	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68875	142.0
RHO GTPases Activate Formins	R-HSA-5663220	 Reactome	 hsapiens	128	5505	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5663220	123.0
Regulation of IGF Activity by IGFBP	R-HSA-381426	 Reactome	 hsapiens	127	815	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381426	125.0
Signaling by NTRK1 (TRKA)	R-HSA-187037	 Reactome	 hsapiens	126	828	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-187037	114.0
MHC class II antigen presentation	R-HSA-2132295	 Reactome	 hsapiens	126	2786	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2132295	103.0
FCERI mediated Ca+2 mobilization	R-HSA-2871809	 Reactome	 hsapiens	126	3696	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2871809	30.0
Negative regulation of the PI3K/AKT network	R-HSA-199418	 Reactome	 hsapiens	125	1793	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-199418	113.0
Cap-dependent Translation Initiation	R-HSA-72737	 Reactome	 hsapiens	125	5797	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72737	119.0
Eukaryotic Translation Initiation	R-HSA-72613	 Reactome	 hsapiens	125	5823	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72613	119.0
Downstream TCR signaling	R-HSA-202424	 Reactome	 hsapiens	124	2054	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-202424	98.0
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	R-HSA-5693567	 Reactome	 hsapiens	124	3416	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693567	132.0
VEGFA-VEGFR2 Pathway	R-HSA-4420097	 Reactome	 hsapiens	123	1235	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4420097	97.0
Peptide hormone metabolism	R-HSA-2980736	 Reactome	 hsapiens	122	383	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2980736	85.0
Reproduction	R-HSA-1474165	 Reactome	 hsapiens	122	2220	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1474165	139.0
Bile acid and bile salt metabolism	R-HSA-194068	 Reactome	 hsapiens	121	1265	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-194068	35.0
ABC-family proteins mediated transport	R-HSA-382556	 Reactome	 hsapiens	121	1866	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-382556	81.0
FCERI mediated MAPK activation	R-HSA-2871796	 Reactome	 hsapiens	120	3083	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2871796	29.0
