pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL
"""POLB-Dependent Long Patch Base Excision Repair"" pathway"	R-HSA-110362	 Reactome	 hsapiens	 15	 58	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110362
"""Resolution of AP sites via the multiple-nucleotide patch replacement pathway"" pathway"	R-HSA-110373	 Reactome	 hsapiens	 32	 303	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110373
"""Resolution of AP sites via the single-nucleotide replacement pathway"" pathway"	R-HSA-110381	 Reactome	 hsapiens	 7	 22	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110381
"""SLBP independent Processing of Histone Pre-mRNAs"" pathway"	R-HSA-111367	 Reactome	 hsapiens	 10	 45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111367
"""Activation of BIM and translocation to mitochondria"" pathway"	R-HSA-111446	 Reactome	 hsapiens	 5	 11	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111446
"""Activation of BAD and translocation to mitochondria"" pathway"	R-HSA-111447	 Reactome	 hsapiens	 19	 59	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111447
"""Activation of NOXA and translocation to mitochondria"" pathway"	R-HSA-111448	 Reactome	 hsapiens	 5	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111448
"""Activation and oligomerization of BAK protein"" pathway"	R-HSA-111452	 Reactome	 hsapiens	 2	 1	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111452
"""BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"" pathway"	R-HSA-111453	 Reactome	 hsapiens	 9	 13	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111453
"""Release of apoptotic factors from the mitochondria"" pathway"	R-HSA-111457	 Reactome	 hsapiens	 7	 16	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111457
"""Formation of apoptosome"" pathway"	R-HSA-111458	 Reactome	 hsapiens	 13	 56	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111458
"""Activation of caspases through apoptosome-mediated cleavage"" pathway"	R-HSA-111459	 Reactome	 hsapiens	 8	 24	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111459
"""Cytochrome c-mediated apoptotic response"" pathway"	R-HSA-111461	 Reactome	 hsapiens	 15	 73	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111461
"""SMAC (DIABLO) binds to IAPs"" pathway"	R-HSA-111463	 Reactome	 hsapiens	 7	 14	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111463
"""SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes"" pathway"	R-HSA-111464	 Reactome	 hsapiens	 7	 14	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111464
"""Apoptotic cleavage of cellular proteins"" pathway"	R-HSA-111465	 Reactome	 hsapiens	 38	 44	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111465
"""SMAC, XIAP-regulated apoptotic response"" pathway"	R-HSA-111469	 Reactome	 hsapiens	 8	 18	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111469
"""Apoptotic factor-mediated response"" pathway"	R-HSA-111471	 Reactome	 hsapiens	 23	 102	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111471
"""Opioid Signalling"" pathway"	R-HSA-111885	 Reactome	 hsapiens	 112	 1215	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111885
"""PKA-mediated phosphorylation of CREB"" pathway"	R-HSA-111931	 Reactome	 hsapiens	 26	 83	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111931
"""CaMK IV-mediated phosphorylation of CREB"" pathway"	R-HSA-111932	 Reactome	 hsapiens	 13	 89	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111932
"""Calmodulin induced events"" pathway"	R-HSA-111933	 Reactome	 hsapiens	 43	 265	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111933
"""Cam-PDE 1 activation"" pathway"	R-HSA-111957	 Reactome	 hsapiens	 8	 19	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111957
"""phospho-PLA2 pathway"" pathway"	R-HSA-111995	 Reactome	 hsapiens	 9	 24	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111995
"""Ca-dependent events"" pathway"	R-HSA-111996	 Reactome	 hsapiens	 48	 288	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111996
"""CaM pathway"" pathway"	R-HSA-111997	 Reactome	 hsapiens	 43	 265	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111997
"""G-protein mediated events"" pathway"	R-HSA-112040	 Reactome	 hsapiens	 72	 649	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112040
"""PLC beta mediated events"" pathway"	R-HSA-112043	 Reactome	 hsapiens	 67	 426	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112043
"""ALKBH3 mediated reversal of alkylation damage"" pathway"	R-HSA-112126	 Reactome	 hsapiens	 11	 78	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112126
"""Electric Transmission Across Gap Junctions"" pathway"	R-HSA-112303	 Reactome	 hsapiens	 6	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112303
"""Transmission across Electrical Synapses"" pathway"	R-HSA-112307	 Reactome	 hsapiens	 6	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112307
"""Presynaptic depolarization and calcium channel opening"" pathway"	R-HSA-112308	 Reactome	 hsapiens	 14	 68	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112308
"""Neurotransmitter release cycle"" pathway"	R-HSA-112310	 Reactome	 hsapiens	 99	 1359	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112310
"""Neurotransmitter clearance"" pathway"	R-HSA-112311	 Reactome	 hsapiens	 34	 115	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112311
"""Neurotransmitter uptake and metabolism In glial cells"" pathway"	R-HSA-112313	 Reactome	 hsapiens	 10	 24	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112313
"""Neurotransmitter receptors and postsynaptic signal transmission"" pathway"	R-HSA-112314	 Reactome	 hsapiens	 209	 3432	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112314
"""Transmission across Chemical Synapses"" pathway"	R-HSA-112315	 Reactome	 hsapiens	 319	 5680	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112315
"""Neuronal System"" pathway"	R-HSA-112316	 Reactome	 hsapiens	 464	 8476	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112316
"""Formation of RNA Pol II elongation complex"" pathway"	R-HSA-112382	 Reactome	 hsapiens	 63	 1932	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112382
"""IRS-mediated signalling"" pathway"	R-HSA-112399	 Reactome	 hsapiens	 58	 544	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112399
"""RAF-independent MAPK1/3 activation"" pathway"	R-HSA-112409	 Reactome	 hsapiens	 27	 139	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112409
"""MAPK1 (ERK2) activation"" pathway"	R-HSA-112411	 Reactome	 hsapiens	 11	 42	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112411
"""SOS-mediated signalling"" pathway"	R-HSA-112412	 Reactome	 hsapiens	 9	 39	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112412
"""Formation of the Early Elongation Complex"" pathway"	R-HSA-113418	 Reactome	 hsapiens	 33	 324	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-113418
"""Inhibition of replication initiation of damaged DNA by RB1/E2F1"" pathway"	R-HSA-113501	 Reactome	 hsapiens	 15	 37	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-113501
"""E2F-enabled inhibition of pre-replication complex formation"" pathway"	R-HSA-113507	 Reactome	 hsapiens	 9	 36	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-113507
"""E2F mediated regulation of DNA replication"" pathway"	R-HSA-113510	 Reactome	 hsapiens	 24	 73	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-113510
"""Activation, translocation and oligomerization of BAX"" pathway"	R-HSA-114294	 Reactome	 hsapiens	 2	 1	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-114294
"""Activation of BH3-only proteins"" pathway"	R-HSA-114452	 Reactome	 hsapiens	 34	 97	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-114452
"""Effects of PIP2 hydrolysis"" pathway"	R-HSA-114508	 Reactome	 hsapiens	 40	 109	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-114508
"""Disinhibition of SNARE formation"" pathway"	R-HSA-114516	 Reactome	 hsapiens	 10	 41	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-114516
"""GPVI-mediated activation cascade"" pathway"	R-HSA-114604	 Reactome	 hsapiens	 41	 305	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-114604
"""Platelet degranulation"" pathway"	R-HSA-114608	 Reactome	 hsapiens	 9	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-114608
"""Downstream signaling events of B Cell Receptor (BCR)"" pathway"	R-HSA-1168372	 Reactome	 hsapiens	 90	 1614	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1168372
"""Activation of NF-kappaB in B cells"" pathway"	R-HSA-1169091	 Reactome	 hsapiens	 72	 1470	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1169091
"""Activation of RAS in B cells"" pathway"	R-HSA-1169092	 Reactome	 hsapiens	 10	 36	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1169092
"""ISG15 antiviral mechanism"" pathway"	R-HSA-1169408	 Reactome	 hsapiens	 79	 1208	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1169408
"""Antiviral mechanism by IFN-stimulated genes"" pathway"	R-HSA-1169410	 Reactome	 hsapiens	 90	 1240	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1169410
"""Prolactin receptor signaling"" pathway"	R-HSA-1170546	 Reactome	 hsapiens	 18	 204	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1170546
"""Signaling by NODAL"" pathway"	R-HSA-1181150	 Reactome	 hsapiens	 23	 169	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1181150
"""Fertilization"" pathway"	R-HSA-1187000	 Reactome	 hsapiens	 30	 89	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1187000
"""Meiotic synapsis"" pathway"	R-HSA-1221632	 Reactome	 hsapiens	 62	 1378	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1221632
"""Tolerance of reactive oxygen produced by macrophages"" pathway"	R-HSA-1222387	 Reactome	 hsapiens	 19	 72	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1222387
"""Mtb iron assimilation by chelation"" pathway"	R-HSA-1222449	 Reactome	 hsapiens	 17	 82	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1222449
"""Latent infection - Other responses of Mtb to phagocytosis"" pathway"	R-HSA-1222499	 Reactome	 hsapiens	 72	 308	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1222499
"""Tolerance by Mtb to nitric oxide produced by macrophages"" pathway"	R-HSA-1222538	 Reactome	 hsapiens	 37	 107	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1222538
"""Cell redox homeostasis"" pathway"	R-HSA-1222541	 Reactome	 hsapiens	 19	 40	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1222541
"""ROS and RNS production in phagocytes"" pathway"	R-HSA-1222556	 Reactome	 hsapiens	 80	 748	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1222556
"""Signaling by FGFR in disease"" pathway"	R-HSA-1226099	 Reactome	 hsapiens	 72	 1131	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1226099
"""Signaling by ERBB2"" pathway"	R-HSA-1227986	 Reactome	 hsapiens	 63	 768	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1227986
"""Signaling by ERBB2 in Cancer"" pathway"	R-HSA-1227990	 Reactome	 hsapiens	 33	 373	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1227990
"""Regulation of gene expression by Hypoxia-inducible Factor"" pathway"	R-HSA-1234158	 Reactome	 hsapiens	 11	 40	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1234158
"""Cellular response to hypoxia"" pathway"	R-HSA-1234174	 Reactome	 hsapiens	 81	 2418	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1234174
"""Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha"" pathway"	R-HSA-1234176	 Reactome	 hsapiens	 72	 2370	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1234176
"""Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"" pathway"	R-HSA-1236382	 Reactome	 hsapiens	 25	 206	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1236382
"""Signaling by ERBB4"" pathway"	R-HSA-1236394	 Reactome	 hsapiens	 67	 437	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1236394
"""Cross-presentation of particulate exogenous antigens (phagosomes)"" pathway"	R-HSA-1236973	 Reactome	 hsapiens	 12	 42	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1236973
"""ER-Phagosome pathway"" pathway"	R-HSA-1236974	 Reactome	 hsapiens	 173	 1762	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1236974
"""Antigen processing-Cross presentation"" pathway"	R-HSA-1236975	 Reactome	 hsapiens	 195	 2335	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1236975
"""Endosomal/Vacuolar pathway"" pathway"	R-HSA-1236977	 Reactome	 hsapiens	 82	 463	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1236977
"""Cross-presentation of soluble exogenous antigens (endosomes)"" pathway"	R-HSA-1236978	 Reactome	 hsapiens	 53	 1132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1236978
"""Erythrocytes take up carbon dioxide and release oxygen"" pathway"	R-HSA-1237044	 Reactome	 hsapiens	 23	 105	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1237044
"""Methionine salvage pathway"" pathway"	R-HSA-1237112	 Reactome	 hsapiens	 24	 67	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1237112
"""Erythrocytes take up oxygen and release carbon dioxide"" pathway"	R-HSA-1247673	 Reactome	 hsapiens	 16	 59	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1247673
"""SHC1 events in ERBB2 signaling"" pathway"	R-HSA-1250196	 Reactome	 hsapiens	 30	 274	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1250196
"""PI3K events in ERBB4 signaling"" pathway"	R-HSA-1250342	 Reactome	 hsapiens	 14	 68	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1250342
"""SHC1 events in ERBB4 signaling"" pathway"	R-HSA-1250347	 Reactome	 hsapiens	 18	 158	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1250347
"""PLCG1 events in ERBB2 signaling"" pathway"	R-HSA-1251932	 Reactome	 hsapiens	 6	 23	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1251932
"""Nuclear signaling by ERBB4"" pathway"	R-HSA-1251985	 Reactome	 hsapiens	 34	 98	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1251985
"""Downregulation of ERBB4 signaling"" pathway"	R-HSA-1253288	 Reactome	 hsapiens	 9	 52	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1253288
"""PI3K/AKT Signaling"" pathway"	R-HSA-1257604	 Reactome	 hsapiens	 286	 4256	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1257604
"""Interleukin-7 signaling"" pathway"	R-HSA-1266695	 Reactome	 hsapiens	 27	 118	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1266695
"""Developmental Biology"" pathway"	R-HSA-1266738	 Reactome	 hsapiens	 1025	 19843	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1266738
"""Mitochondrial protein import"" pathway"	R-HSA-1268020	 Reactome	 hsapiens	 69	 680	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1268020
"""Cytokine Signaling in Immune system"" pathway"	R-HSA-1280215	 Reactome	 hsapiens	 807	 8766	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1280215
"""Adaptive Immune System"" pathway"	R-HSA-1280218	 Reactome	 hsapiens	 964	 38457	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1280218
"""Spry regulation of FGF signaling"" pathway"	R-HSA-1295596	 Reactome	 hsapiens	 19	 82	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1295596
"""ATP sensitive Potassium channels"" pathway"	R-HSA-1296025	 Reactome	 hsapiens	 6	 14	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296025
"""Activation of G protein gated Potassium channels"" pathway"	R-HSA-1296041	 Reactome	 hsapiens	 31	 461	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296041
"""Ca activated K+ channels"" pathway"	R-HSA-1296052	 Reactome	 hsapiens	 10	 22	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296052
"""G protein gated Potassium channels"" pathway"	R-HSA-1296059	 Reactome	 hsapiens	 31	 461	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296059
"""Inwardly rectifying K+ channels"" pathway"	R-HSA-1296065	 Reactome	 hsapiens	 38	 537	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296065
"""Potassium transport channels"" pathway"	R-HSA-1296067	 Reactome	 hsapiens	 4	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296067
"""Potassium Channels"" pathway"	R-HSA-1296071	 Reactome	 hsapiens	 107	 1348	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296071
"""Voltage gated Potassium channels"" pathway"	R-HSA-1296072	 Reactome	 hsapiens	 44	 206	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296072
"""Tandem pore domain potassium channels"" pathway"	R-HSA-1296346	 Reactome	 hsapiens	 13	 25	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296346
"""TWIK-releated acid-sensitive K+ channel (TASK)"" pathway"	R-HSA-1299316	 Reactome	 hsapiens	 3	 5	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1299316
"""Sperm Motility And Taxes"" pathway"	R-HSA-1300642	 Reactome	 hsapiens	 13	 39	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1300642
"""Acrosome Reaction and Sperm:Oocyte Membrane Binding"" pathway"	R-HSA-1300645	 Reactome	 hsapiens	 5	 4	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1300645
"""GRB7 events in ERBB2 signaling"" pathway"	R-HSA-1306955	 Reactome	 hsapiens	 5	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1306955
"""betaKlotho-mediated ligand binding"" pathway"	R-HSA-1307965	 Reactome	 hsapiens	 6	 35	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1307965
"""Downregulation of ERBB2:ERBB3 signaling"" pathway"	R-HSA-1358803	 Reactome	 hsapiens	 15	 94	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1358803
"""Transcription of E2F targets under negative control by DREAM complex"" pathway"	R-HSA-1362277	 Reactome	 hsapiens	 19	 128	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1362277
"""Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1"" pathway"	R-HSA-1362300	 Reactome	 hsapiens	 16	 90	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1362300
"""Mitochondrial iron-sulfur cluster biogenesis"" pathway"	R-HSA-1362409	 Reactome	 hsapiens	 25	 191	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1362409
"""NR1D1 (REV-ERBA) represses gene expression"" pathway"	R-HSA-1368071	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1368071
"""RORA activates gene expression"" pathway"	R-HSA-1368082	 Reactome	 hsapiens	 24	 150	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1368082
"""BMAL1:CLOCK,NPAS2 activates circadian gene expression"" pathway"	R-HSA-1368108	 Reactome	 hsapiens	 33	 178	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1368108
"""ABC transporters in lipid homeostasis"" pathway"	R-HSA-1369062	 Reactome	 hsapiens	 28	 199	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1369062
"""Elevation of cytosolic Ca2+ levels"" pathway"	R-HSA-139853	 Reactome	 hsapiens	 22	 73	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-139853
"""Activation of BMF and translocation to mitochondria"" pathway"	R-HSA-139910	 Reactome	 hsapiens	 5	 11	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-139910
"""Activation of PUMA and translocation to mitochondria"" pathway"	R-HSA-139915	 Reactome	 hsapiens	 9	 16	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-139915
"""Apoptosis induced DNA fragmentation"" pathway"	R-HSA-140342	 Reactome	 hsapiens	 13	 28	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140342
"""Ligand-dependent caspase activation"" pathway"	R-HSA-140534	 Reactome	 hsapiens	 19	 127	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140534
"""Extrinsic Pathway of Fibrin Clot Formation"" pathway"	R-HSA-140834	 Reactome	 hsapiens	 6	 26	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140834
"""Intrinsic Pathway of Fibrin Clot Formation"" pathway"	R-HSA-140837	 Reactome	 hsapiens	 26	 156	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140837
"""Common Pathway of Fibrin Clot Formation"" pathway"	R-HSA-140875	 Reactome	 hsapiens	 25	 171	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140875
"""Formation of Fibrin Clot (Clotting Cascade)"" pathway"	R-HSA-140877	 Reactome	 hsapiens	 43	 338	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140877
"""Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components"" pathway"	R-HSA-141405	 Reactome	 hsapiens	 21	 210	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-141405
"""Amplification of signal from the kinetochores"" pathway"	R-HSA-141424	 Reactome	 hsapiens	 94	 4356	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-141424
"""Inactivation of APC/C via direct inhibition of the APC/C complex"" pathway"	R-HSA-141430	 Reactome	 hsapiens	 21	 210	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-141430
"""Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"" pathway"	R-HSA-141444	 Reactome	 hsapiens	 94	 4356	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-141444
"""The citric acid (TCA) cycle and respiratory electron transport"" pathway"	R-HSA-1428517	 Reactome	 hsapiens	 234	 5479	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1428517
"""Metabolism"" pathway"	R-HSA-1430728	 Reactome	 hsapiens	 3541	 104037	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1430728
"""Signaling by SCF-KIT"" pathway"	R-HSA-1433557	 Reactome	 hsapiens	 49	 355	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1433557
"""Regulation of KIT signaling"" pathway"	R-HSA-1433559	 Reactome	 hsapiens	 18	 80	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1433559
"""Regulation of signaling by NODAL"" pathway"	R-HSA-1433617	 Reactome	 hsapiens	 12	 33	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1433617
